label,count,category
KWANZAN FLOWERING CHERRY,9592,species
PISSARD PLUM,7185,species
NORWAY MAPLE,5384,species
CRIMEAN LINDEN,4052,species
PYRAMIDAL EUROPEAN HORNBEAM,3193,species
NIGHT PURPLE LEAF PLUM,3083,species
RED MAPLE,2529,species
KOBUS MAGNOLIA,2511,species
BOWHALL RED MAPLE,2409,species
AKEBONO FLOWERING CHERRY,2309,species
COMMON HORSECHESTNUT,2160,species
HEDGE MAPLE,2053,species
KATSURA TREE,2048,species
EUROPEAN BEECH,1931,species
ARMSTRONG RED MAPLE,1771,species
AMERICAN ELM,1711,species
COLUMNAR NORWAY MAPLE,1708,species
SYCAMORE MAPLE,1687,species
PACIFIC SUNSET MAPLE,1613,species
JAPANESE FLOWERING CRABAPPLE,1553,species
PIN OAK,1504,species
AUTUMN APPLAUSE ASH,1502,species
REDBUD CRABAPPLE,1482,species
RED OAK,1344,species
GLOBEHEAD NORWAY MAPLE,1321,species
FLOWERING ASH,1302,species
JAPANESE SNOWBELL,1289,species
LAVALLEI HYBRID HAWTHORN,1271,species
EUROPEAN HORNBEAM,1265,species
TREE LILAC,1215,species
WORPLESDON SWEETGUM,1064,species
LONDON PLANE TREE,1048,species
VANESSA PERSIAN IRONWOOD,1034,species
CHANTICLEER PEAR,1028,species
DAWYCK'S BEECH,1006,species
EUROPEAN WHITE BIRCH,989,species
AUTUMN BLAZE RED MAPLE,979,species
QUEEN ELIZABETH MAPLE,964,species
ENGLISH OAK,961,species
PERSIAN IRONWOOD,896,species
BASSWOOD,885,species
WESTERN RED CEDAR,884,species
LITTLE-LEAF LINDEN,840,species
GOLDEN DAWYCK BEECH,793,species
EUROPEAN ASH,785,species
RED SUNSET RED MAPLE,748,species
AUTUMN FLAME RED MAPLE,741,species
UKON JAPANESE CHERRY,708,species
FREEMAN'S S.S. MAPLE,706,species
THORNLESS HONEYLOCUST,700,species
OCTOBER GLORY RED MAPLE,696,species
EMERALD QUEEN NORWAY MAPLE,682,species
DOUGLAS FIR,645,species
PRINCETON GOLD MAPLE,641,species
PAPERBARK MAPLE,597,species
ENGLISH HAWTHORN,589,species
PATMORE ASH,587,species
BLOODGOOD PLANE TREE,579,species
BLACK TUPELO,534,species
ARISTOCRAT PEAR,525,species
MORGAN RED MAPLE,523,species
MAZZARD CHERRY,504,species
RAYWOOD ASH,502,species
TULIPTREE,498,species
SAWTOOTH OAK,495,species
PINK PERFECTION CHERRY,486,species
JAPANESE DOGWOOD,482,species
BRANDON ELM,465,species
MAGNOLIA ‘GALAXY’,463,species
AMERICAN HORNBEAM,445,species
